n_hidden,n_epoch,accuracy,time (s),time (m),
"(4, 2)",1,97.75,3.55,0.06,
"(4, 2, 1)",1,88.25,4.61,0.08,
"(8, 4)",1,97.75,3.18,0.05,
"(8, 4, 2)",1,97.55,3.79,0.06,
"(32, 16)",1,97.95,4.27,0.07,
"(32, 16, 8)",1,98.15,4.80,0.08,
"(32, 16, 8, 4)",1,98.10,5.11,0.09,
"(256, 128)",1,98.50,36.94,0.62,
"(256, 128, 64)",1,98.45,37.72,0.63,
"(256, 128, 64, 32)",1,98.35,37.95,0.63,
"(392, 196)",1,98.45,57.45,0.96,
"(392, 196, 98)",1,98.50,57.31,0.96,
"(392, 196, 98, 49)",1,98.60,54.42,0.91,
"(4, 2)",20,98.95,73.75,1.23,
"(4, 2, 1)",20,98.70,64.20,1.07,
"(8, 4)",20,99.00,58.69,0.98,
"(8, 4, 2)",20,98.85,67.72,1.13,
"(32, 16)",20,98.95,90.04,1.50,
"(32, 16, 8)",20,99.00,97.10,1.62,
"(32, 16, 8, 4)",20,98.95,102.31,1.71,
"(256, 128)",20,99.00,660.75,11.01,
"(256, 128, 64)",20,98.85,688.40,11.47,
"(256, 128, 64, 32)",20,99.00,680.98,11.35,
"(392, 196)",20,98.95,1104.24,18.40,
"(392, 196, 98)",20,98.85,1213.81,20.23,
"(392, 196, 98, 49)",20,99.10,1252.77,20.88,
